typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20170101","2017","52","2017","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31689830357","false","-1","N/A","0","false","31689830357","false","0","false","0","12224802399","12224802399","0","false","true",
"C","A","20180101","2018","52","2018","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3394680000","false","8","kg","3394680000","false","3394680000","false","0","false",,"1313216580.35","1313216580.35","0","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2177522000355","false","-1","N/A","0","false","68556607214","false","0","false",,"27233070721","27233070721","0","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8235392057","false","-1","N/A","0","false","8235392057","false","0","false","0","3119336276","3119336276","0","false","true",
"C","A","20180101","2018","52","2018","32","ARG","Argentina","X","Export","156","CHN","China","899","_X ","Areas, nes","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3394680000","false","8","kg","3394680000","false","3394680000","false","0","false",,"1313216580.35","1313216580.35","0","false","true",
"C","A","20190101","2019","52","2019","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8962120000","false","8","kg","8962120000","false","8962120000","false","0","false",,"3012737560.2","3012737560.2","0","false","true",
"C","A","20190101","2019","52","2019","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","57959100432","false","-1","N/A","0","false","57963490811","false","0","false",,"20452339452","20452339452","0","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22575972465","false","-1","N/A","0","false","22575972465","false","0","false","0","7988877001","7988877001","0","false","true",
"C","A","20200101","2020","52","2020","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5475490000","false","8","kg","5475490000","false","5475490000","false","0","false","0","1867358785.2","1867358785.2","0","false","true",
"C","A","20200101","2020","52","2020","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60596433360","false","-1","N/A","0","false","60595839603","false","0","false",,"20903176750","20903176750","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34708471290","false","-1","N/A","0","false","34708471290","false","0","false","0","14202646345","14202646345","0","false","true",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3435487000","false","8","kg","3435487000","false","3435487000","false","0","false","0","1781766353.65","1781766353.65","0","false","true",
"C","A","20210101","2021","52","2021","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","61031524827","false","-1","N/A","0","false","60476103963","false","0","false",,"27208101300","27208101300","0","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27313977871","false","-1","N/A","0","false","27313977871","false","0","false","0","14102154082","14102154082","0","false","true",
"C","A","20220101","2022","52","2022","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4924690000","false","8","kg","4924690000","false","4924690000","false","0","false",,"2891531556.8","2891531556.8","0","false","true",
"C","A","20220101","2022","52","2022","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","53815088185.71","true","-1","N/A","0","false","53740401174.71","true","0","false","0","31848677682","31848677682","6","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30395674267","false","-1","N/A","0","false","30395674267","false","0","false",,"17871585339","17871585339","0","false","true",
"C","A","20230101","2023","52","2023","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1736410000","false","8","kg","1736410000","false","1736410000","false","0","false",,"937216526.68","937216526.68","0","false","true",
"C","A","20230101","2023","52","2023","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","74703216381","false","-1","N/A","0","false","74471954170","false","0","false",,"38917721136","38917721136","0","false","true",
"C","A","20230101","2023","52","2023","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H6","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26602542393","false","-1","N/A","0","false","26602542393","false","0","false",,"15163713089","15163713089","0","false","true",
